Água Branca;11ª;ECI EEM JOSE NOMINANDO;ANANDA KAROLYNE PEREIRA DE ARAÚJO;ANA VITÓRIA DELFINO DA PAZ;;;;;;
Água Branca;11ª;ECI EEM JOSE NOMINANDO;ALESSANDRO GUILHERME CUNHA PEREIRA FILHO;ANA VITÓRIA DELFINO DA PAZ;;;;;;
Água Branca;11ª;ECI EEM JOSE NOMINANDO;WILLIAN HENRY LACET MARINHO;ANA VITÓRIA DELFINO DA PAZ;;;;;;
Água Branca;11ª;ECI EEM JOSE NOMINANDO;MURILO EMANUEL DE SOUSA SILVA;ANA VITÓRIA DELFINO DA PAZ;;;;;;
Água Branca;11ª;ECI EEM JOSE NOMINANDO;ISABELLA LUIZA GIRALDO;ANA VITÓRIA DELFINO DA PAZ;;;;;;
Aguiar;7ª;"
ECI EEM AGENOR MENDES 
PEDROSA";GABRIELA ASSIS BARBOSA DE SOUZA;ALLANA ARAÚJO RÊGO;;;;;;
Aguiar;7ª;"
ECI EEM AGENOR MENDES 
PEDROSA";ANA BEATRIZ CASTELO LINS;ALLANA ARAÚJO RÊGO;;;;;;
Aguiar;7ª;"
ECI EEM AGENOR MENDES 
PEDROSA";JULIA LOURO PINHEIRO;ALLANA ARAÚJO RÊGO;;;;;;
Aguiar;7ª;"
ECI EEM AGENOR MENDES 
PEDROSA";DANKA SANTOS PAIVA GUEDES;ALLANA ARAÚJO RÊGO;;;;;;
Aguiar;7ª;"
ECI EEM AGENOR MENDES 
PEDROSA";DAVI ARAUJO DE JESUS;ALLANA ARAÚJO RÊGO;;;;;;
 Alagoa Grande;3ª;" EEEFM PADRE HILDON
 BANDEIRA";JOÃO EMANUEL ROCHA DORNELAS;AMANDA FLORENTINO BARREIRA;;;;;;
 Alagoa Grande;3ª;" EEEFM PADRE HILDON
 BANDEIRA";LUANA FERNANDES MAIA;AMANDA FLORENTINO BARREIRA;;;;;;
